day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
1,346,Moving Average from Data Stream,Easy,"['Design', 'Queue']","['Google', 'Apple', 'Amazon']",10,73.6,10
1,359,Logger Rate Limiter,Easy,"['Hash Table', 'Design']","['Google', 'Apple', 'Amazon', 'Bloomberg', 'Microsoft', 'Oracle']",10,72.5,20
1,705,Design HashSet,Easy,"['Hash Table', 'Design']","['Google', 'Adobe']",10,64.5,30
1,706,Design HashMap,Easy,"['Hash Table', 'Design']","['Goldman Sachs', 'Amazon', 'Microsoft', 'Apple', 'LinkedIn', 'Oracle', 'Google', 'Uber', 'VMware', 'ByteDance', 'eBay']",10,64.1,40
1,232,Implement Queue using Stacks,Easy,"['Stack', 'Design']","['Amazon', 'Microsoft', 'Apple', 'Facebook']",10,52.7,50
1,703,Kth Largest Element in a Stream,Easy,"['Heap', 'Design']","['Amazon', 'Microsoft', 'Facebook']",10,50.9,60
1,155,Min Stack,Easy,"['Stack', 'Design']","['Amazon', 'Bloomberg', 'Microsoft', 'Oracle', 'eBay', 'Apple']",10,46.8,70
1,716,Max Stack,Easy,['Design'],"['LinkedIn', 'Amazon', 'Microsoft', 'Facebook', 'Twitter']",10,43.1,80
1,362,Design Hit Counter,Medium,['Design'],"['Amazon', 'Microsoft', 'Apple', 'Bloomberg', 'Google', 'Yandex']",20,65.5,100
1,173,Binary Search Tree Iterator,Medium,"['Stack', 'Tree', 'Design']","['Facebook', 'ByteDance', 'Microsoft', 'Bloomberg', 'Google', 'Oracle', 'Amazon', 'Apple', 'Adobe']",20,60.6,120
2,348,Design Tic-Tac-Toe,Medium,['Design'],"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Oracle']",20,55.7,20
2,341,Flatten Nested List Iterator,Medium,"['Stack', 'Design']","['Facebook', 'Amazon', 'Apple', 'LinkedIn', 'Bloomberg', 'Oracle']",20,54.8,40
2,208,Implement Trie (Prefix Tree),Medium,"['Design', 'Trie']","['Amazon', 'Google', 'Microsoft', 'Oracle', 'Facebook', 'Apple', 'Goldman Sachs', 'Qualtrics']",20,52.5,60
2,284,Peeking Iterator,Medium,['Design'],"['Apple', 'Google', 'Amazon']",20,50.9,80
2,380,Insert Delete GetRandom O(1),Medium,"['Array', 'Hash Table', 'Design']","['Amazon', 'Bloomberg', 'Facebook', 'Twitter', 'Microsoft', 'Oracle', 'Yandex', 'LinkedIn', 'Snapchat', 'Adobe']",20,49.1,100
2,146,LRU Cache,Medium,['Design'],"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Bloomberg', 'Snapchat', 'eBay', 'ByteDance', 'Google', 'Oracle', 'Uber', 'Paypal', 'Adobe', 'Goldman Sachs']",20,36.2,120
3,1480,Running Sum of 1d Array,Easy,['Array'],"['Apple', 'Amazon', 'Adobe', 'Bloomberg']",10,88.6,10
3,1512,Number of Good Pairs,Easy,"['Array', 'Hash Table', 'Math']","['Microsoft', 'Bloomberg', 'Amazon', 'Adobe', 'Apple']",10,87.7,20
3,1365,How Many Numbers Are Smaller Than the Current Number,Easy,"['Array', 'Hash Table']","['Amazon', 'Bloomberg']",10,86.0,30
3,1313,Decompress Run-Length Encoded List,Easy,['Array'],"['Amazon', 'Google', 'Apple']",10,85.4,40
3,832,Flipping an Image,Easy,['Array'],"['Facebook', 'Microsoft']",10,78.3,50
3,1351,Count Negative Numbers in a Sorted Matrix,Easy,"['Array', 'Binary Search']","['Amazon', 'Microsoft', 'Apple']",10,75.8,60
3,1748,Sum of Unique Elements,Easy,"['Array', 'Hash Table']",['Facebook'],10,75.0,70
3,977,Squares of a Sorted Array,Easy,"['Array', 'Two Pointers']","['Facebook', 'Uber', 'Google', 'Amazon', 'Apple', 'Bloomberg', 'Yandex', 'Microsoft', 'ByteDance', 'Cisco']",10,71.8,80
3,1002,Find Common Characters,Easy,"['Array', 'Hash Table']","['Apple', 'Amazon']",10,68.7,90
3,1133,Largest Unique Number,Easy,"['Array', 'Hash Table']",['Amazon'],10,67.9,100
3,1160,Find Words That Can Be Formed by Characters,Easy,"['Array', 'Hash Table']",['Amazon'],10,67.9,110
3,509,Fibonacci Number,Easy,['Array'],"['Amazon', 'Google', 'Apple', 'Facebook']",10,67.5,120
4,169,Majority Element,Easy,"['Array', 'Divide and Conquer', 'Bit Manipulation']","['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'ByteDance']",10,60.2,10
4,122,Best Time to Buy and Sell Stock II,Easy,"['Array', 'Greedy']","['Amazon', 'Apple', 'Microsoft', 'Facebook', 'Uber']",10,58.8,20
4,283,Move Zeroes,Easy,"['Array', 'Two Pointers']","['Facebook', 'Bloomberg', 'Microsoft', 'Adobe', 'Apple', 'Amazon', 'Google', 'eBay', 'Uber', 'Paypal', 'Cisco', 'Yandex']",10,58.7,30
4,217,Contains Duplicate,Easy,"['Array', 'Hash Table']","['Apple', 'Microsoft', 'Adobe']",10,56.9,40
4,118,Pascal's Triangle,Easy,['Array'],"['Google', 'Adobe', 'Apple', 'Amazon', 'Goldman Sachs']",10,55.4,50
4,268,Missing Number,Easy,"['Array', 'Math', 'Bit Manipulation']","['Amazon', 'Facebook', 'Apple', 'Microsoft', 'Oracle', 'Goldman Sachs', 'Cisco']",10,55.2,60
4,1539,Kth Missing Positive Number,Easy,"['Array', 'Hash Table']","['Facebook', 'Amazon', 'Microsoft', 'Apple']",10,54.9,70
4,1176,Diet Plan Performance,Easy,"['Array', 'Sliding Window']",['Amazon'],10,53.8,80
4,119,Pascal's Triangle II,Easy,['Array'],"['Microsoft', 'Google', 'Amazon']",10,52.5,90
4,121,Best Time to Buy and Sell Stock,Easy,"['Array', 'Dynamic Programming']","['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'Google', 'Bloomberg', 'eBay', 'Uber', 'ByteDance', 'Goldman Sachs', 'Expedia', 'VMware', 'Qualtrics', 'Oracle']",10,51.8,100
4,53,Maximum Subarray,Easy,"['Array', 'Divide and Conquer', 'Dynamic Programming']","['Microsoft', 'Amazon', 'Apple', 'LinkedIn', 'ByteDance', 'Google', 'Adobe', 'Cisco', 'Facebook', 'Oracle', 'Bloomberg', 'Uber', 'Paypal']",10,47.9,110
4,26,Remove Duplicates from Sorted Array,Easy,"['Array', 'Two Pointers']","['Google', 'Facebook', 'Amazon', 'Microsoft']",10,46.8,120
5,1,Two Sum,Easy,"['Array', 'Hash Table']","['Amazon', 'Google', 'Apple', 'Adobe', 'Microsoft', 'Bloomberg', 'Facebook', 'Oracle', 'Uber', 'Expedia', 'Twitter', 'Cisco', 'Goldman Sachs', 'Yandex']",10,46.7,10
5,66,Plus One,Easy,['Array'],"['ByteDance', 'Facebook', 'Adobe', 'Amazon', 'Google']",10,42.2,20
5,88,Merge Sorted Array,Easy,"['Array', 'Two Pointers']","['Facebook', 'Microsoft', 'Amazon', 'Bloomberg', 'Oracle', 'Apple', 'LinkedIn', 'Goldman Sachs', 'Yandex']",10,40.9,30
5,219,Contains Duplicate II,Easy,"['Array', 'Hash Table']","['Facebook', 'Amazon']",10,38.8,40
5,442,Find All Duplicates in an Array,Medium,['Array'],"['Amazon', 'Facebook', 'Microsoft', 'Bloomberg']",20,69.1,60
5,695,Max Area of Island,Medium,"['Array', 'Depth-first Search']","['Google', 'Amazon', 'Facebook', 'Microsoft', 'Oracle', 'Bloomberg', 'eBay']",20,65.1,80
5,238,Product of Array Except Self,Medium,['Array'],"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Uber', 'Adobe', 'VMware', 'Oracle']",20,61.4,100
5,216,Combination Sum III,Medium,"['Array', 'Backtracking']","['Google', 'Microsoft', 'Amazon', 'Bloomberg']",20,60.6,120
6,48,Rotate Image,Medium,['Array'],"['Amazon', 'Microsoft', 'Apple', 'Uber', 'Cisco', 'Facebook', 'Adobe', 'Google', 'eBay']",20,60.5,20
6,39,Combination Sum,Medium,"['Array', 'Backtracking']","['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Apple', 'Uber', 'Adobe', 'eBay', 'ByteDance']",20,59.7,40
6,287,Find the Duplicate Number,Medium,"['Array', 'Two Pointers', 'Binary Search']","['Microsoft', 'Amazon', 'Apple', 'Google', 'Bloomberg', 'Paypal', 'Goldman Sachs']",20,57.9,60
6,64,Minimum Path Sum,Medium,"['Array', 'Dynamic Programming']","['Google', 'Amazon', 'Goldman Sachs', 'Facebook', 'Apple', 'Snapchat']",20,56.5,80
6,62,Unique Paths,Medium,"['Array', 'Dynamic Programming']","['Microsoft', 'Amazon', 'Facebook', 'Google', 'Bloomberg', 'Qualtrics', 'VMware', 'ByteDance']",20,56.3,100
6,11,Container With Most Water,Medium,"['Array', 'Two Pointers']","['Amazon', 'Google', 'Microsoft', 'Facebook', 'Goldman Sachs', 'Adobe', 'Apple']",20,52.9,120
7,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,"['Array', 'Tree', 'Depth-first Search']","['Amazon', 'Microsoft', 'Facebook', 'ByteDance', 'Bloomberg', 'Oracle']",20,52.4,20
7,75,Sort Colors,Medium,"['Array', 'Two Pointers', 'Sort']","['Microsoft', 'Facebook', 'eBay', 'Amazon', 'Oracle', 'Adobe', 'Expedia']",20,49.8,40
7,153,Find Minimum in Rotated Sorted Array,Medium,"['Array', 'Binary Search']","['Facebook', 'Amazon', 'Bloomberg', 'Goldman Sachs', 'Microsoft', 'Oracle']",20,46.4,60
7,16,3Sum Closest,Medium,"['Array', 'Two Pointers']","['Amazon', 'Apple', 'Google', 'Facebook', 'Bloomberg']",20,46.3,80
7,73,Set Matrix Zeroes,Medium,['Array'],"['Facebook', 'Microsoft', 'Oracle', 'Amazon', 'Expedia', 'Bloomberg', 'Goldman Sachs', 'Apple']",20,44.6,100
7,162,Find Peak Element,Medium,"['Array', 'Binary Search']","['Facebook', 'Amazon', 'Google', 'Bloomberg']",20,44.1,120
8,277,Find the Celebrity,Medium,['Array'],"['Microsoft', 'Amazon', 'Facebook', 'LinkedIn', 'Apple', 'Snapchat']",20,44.0,20
8,560,Subarray Sum Equals K,Medium,"['Array', 'Hash Table']","['Facebook', 'Yandex', 'Amazon', 'Bloomberg', 'Microsoft', 'ByteDance', 'Google', 'Adobe', 'Oracle']",20,43.7,40
8,56,Merge Intervals,Medium,"['Array', 'Sort']","['Facebook', 'Amazon', 'Bloomberg', 'Apple', 'Google', 'Microsoft', 'Adobe', 'Uber', 'Twitter', 'eBay', 'Paypal', 'Cisco', 'Oracle', 'Yandex', 'Qualtrics', 'VMware']",20,41.4,60
